Title,Synopsis,Links
"Minecraft, Le Film","Bienvenue dans l’univers de Minecraft où la créativité est essentielle à la survie ! Quatre outsiders – Garrett, Henry, Natalie et Dawn  – sont soudainement projetés à travers un mystérieux portail menant à La Surface – un incroyable monde cubique qui prospère grâce à l’imagination. Pour rentrer chez eux, il leur faudra maîtriser ce monde (et le protéger de créatures maléfiques comme les Piglins et les Zombies), tout en s’engageant dans une quête fantastique aux côtés de Steve, expert fabricateur. Cette aventure les poussera à être audacieux et à développer leur créativité. Autant de facultés dont ils auront besoin pour s’épanouir dans le monde réel.",https://www.allocine.fr/film/fichefilm_gen_cfilm=227463.html
Le Routard,"Yann n’a qu’un seul rêve dans la vie : voyager. Alors, quand il entend dire que le fameux guide du Routard recrute des gens pour faire le tour du monde, il se présente immédiatement à l’entretien et se fait embaucher. Sa première mission : Marrakech, 40 adresses à vérifier en 5 jours. Mais Yann a oublié de mentionner un petit détail lors de son entretien : il n’a jamais voyagé de sa vie. Ce qui lui semblait être au premier abord le ""meilleur job du monde"" va se révéler beaucoup moins idyllique que prévu...",https://www.allocine.fr/film/fichefilm_gen_cfilm=321603.html
Natacha (presque) hôtesse de l’air,"Depuis sa plus tendre enfance, Natacha est bien décidée à devenir hôtesse de l’air pour voyager et découvrir le monde. Quand elle se retrouve mêlée malgré elle au vol de la Joconde, elle y voit l'opportunité de réaliser enfin son rêve. Accompagnée d'un steward maladroit, elle traverse la France et l'Italie dans une course-poursuite qui pourrait bien changer sa vie…",https://www.allocine.fr/film/fichefilm_gen_cfilm=259157.html
"Ozi, la voix de la forêt","Ozi, une jeune orang-outan, est séparée de ses parents à la suite d’un feu de forêt. Elle grandit dans une réserve, entourée d’autres animaux devenus ses amis. Mais un jour, guidée par son instinct, elle décide de partir à la recherche de sa famille. Dans sa quête, elle va découvrir la beauté de la nature mais aussi les dangers qui la menacent. Ozi se lance alors dans une incroyable aventure pour retrouver ses parents et sauver la forêt tropicale.",https://www.allocine.fr/film/fichefilm_gen_cfilm=294847.html
Lads,"Ethan, 17 ans, devient apprenti-jockey dans une écurie d’obstacles, l’épreuve la plus violente du galop. Au contact des purs-sangs, il découvre le monde des courses, des paris et de l’argent. Sa passion grandit, sa frustration aussi. Courir pour gagner, mais toujours au service des autres. Bientôt il devra choisir : transgresser les règles ou sauver sa peau.",https://www.allocine.fr/film/fichefilm_gen_cfilm=310111.html
Deux sœurs,"Pansy est rongée par la douleur physique et mentale et son rapport au monde ne passe que la par colère et la confrontation. Son mari Curtley ne sait plus comment la gérer, tandis que son fils Moses vit dans son propre monde. Seule sa sœur, Chantal, la comprend et peut l’aider.",https://www.allocine.fr/film/fichefilm_gen_cfilm=316235.html
Cassandre,"Été 1998. Campagne. Cassandre a 14 ans. Dans le petit manoir familial, ses parents et son frère aîné remarquent que son corps a changé. Heureusement, Cassandre est passionnée de cheval et intègre pour les vacances, un petit centre équestre où elle se fait adopter comme un animal étrange. Elle y découvre une autre normalité qui l'extrait petit-à-petit d'un corps familial qui l'engloutit...",https://www.allocine.fr/film/fichefilm_gen_cfilm=318265.html
Au pays de nos frères,"Iran années 2000 : dans l’ombre de l’invasion américaine, une famille élargie de réfugiés afghans tente de reconstruire sa vie dans ""le pays des frères"". Une odyssée sur trois décennies où Mohammad, un jeune étudiant prometteur, Leila, une femme isolée et Qasem qui porte le poids du sacrifice pour sa famille, luttent pour survivre à ce nouveau quotidien incertain.",https://www.allocine.fr/film/fichefilm_gen_cfilm=325171.html
Fanon,"Frantz Fanon, un psychiatre français originaire de la Martinique vient d’être nommé chef de service à l’hôpital psychiatrique de Blida en Algérie. Ses méthodes contrastent avec celles des autres médecins dans un contexte de colonisation. ",https://www.allocine.fr/film/fichefilm_gen_cfilm=1000016582.html
Ce n'est qu'un au revoir,Ce n'est qu'un au revoir (1h03) :,https://www.allocine.fr/film/fichefilm_gen_cfilm=1000001260.html
"Ma Mère, Dieu et Sylvie Vartan","En 1963, Esther met au monde Roland, petit dernier d’une famille nombreuse. Roland naît avec un pied-bot qui l’empêche de se tenir debout. Contre l’avis de tous, elle promet à son fils qu’il marchera comme les autres et qu’il aura une vie fabuleuse. Dès lors, Esther n’aura de cesse de tout mettre en œuvre pour tenir cette promesse. À travers des décennies d’épreuves et de miracles de la vie, ce film est le récit d’une histoire vraie, drôle et bouleversante, celle d’un destin incroyable et du plus grand amour qui soit : celui d’une mère pour son enfant.",https://www.allocine.fr/film/fichefilm_gen_cfilm=316984.html
Blanche Neige,"""Blanche-Neige"" des studios Disney est une nouvelle version du classique de 1937 en prises de vues réelles. Avec Rachel Zegler dans le rôle principal et Gal Gadot dans celui de sa belle-mère, la Méchante Reine. Cette aventure magique retourne aux sources du conte intemporel avec les adorables Timide, Prof, Simplet, Grincheux, Joyeux, Dormeur et Atchoum. ",https://www.allocine.fr/film/fichefilm_gen_cfilm=251421.html
Les Bodin’s partent en vrille,"Quand Maria Bodin, fermière autoritaire et revêche, et son fils Christian, apprennent qu’une usine de fromage industrielle s’apprête à s’installer dans leur petit village, ils sont prêts à tout pour défendre leur fromagerie artisanale. Du Salon de l’agriculture au désert marocain, ils ne reculeront devant rien pour faire capoter ce projet d’usine : chantage, baston, courses-poursuites, une fois de plus, les Bodin’s vont braver tous les dangers pour sauver leurs valeurs et leurs traditions.",https://www.allocine.fr/film/fichefilm_gen_cfilm=326019.html
On Ira,"Marie, 80 ans, en a ras le bol de sa maladie. Elle a un plan : partir en Suisse pour mettre fin à ses jours. Mais au moment de l’annoncer à Bruno, son fils irresponsable, et Anna sa petite-fille en crise d’ado, elle panique et invente un énorme mensonge. Prétextant un mystérieux héritage à aller chercher dans une banque suisse, elle leur propose de faire un voyage tous ensemble. Complice involontaire de cette mascarade, Rudy, un auxiliaire de vie tout juste rencontré la veille, va prendre le volant du vieux camping car familial, et conduire cette famille dans un voyage inattendu.",https://www.allocine.fr/film/fichefilm_gen_cfilm=289215.html
